,threshold,automation_rate,f1_no,f1_yes,precision_yes,recall_yes
79,0.79,0.9367279300994276,0.9947558177646673,0.7241379310344828,0.7777777777777778,0.6774193548387096
80,0.8,0.9349201566736969,0.9947489333770921,0.7142857142857142,0.7692307692307693,0.6666666666666666
81,0.81,0.9316059053931907,0.9952294785326534,0.7238095238095238,0.76,0.6909090909090909
82,0.8200000000000001,0.9288942452545947,0.9952168893287151,0.7184466019417475,0.7551020408163265,0.6851851851851852
83,0.8300000000000001,0.9270864718288641,0.9952074037349199,0.7184466019417475,0.7551020408163265,0.6851851851851852
84,0.84,0.923772220548358,0.9953565505804312,0.7254901960784315,0.7551020408163265,0.6981132075471698
85,0.85,0.9180476047002109,0.9953302201467644,0.7142857142857144,0.7446808510638298,0.6862745098039216
86,0.86,0.9150346489906598,0.9953145917001339,0.7142857142857144,0.7446808510638298,0.6862745098039216
87,0.87,0.909611328713468,0.9952861952861952,0.7142857142857144,0.7446808510638298,0.6862745098039216
88,0.88,0.9050918951491413,0.9954322449670107,0.7216494845360825,0.7446808510638298,0.7
89,0.89,0.8987646881590841,0.9957432317384641,0.7311827956989247,0.7391304347826086,0.723404255319149
90,0.9,0.8948478457366676,0.9958960328317373,0.7391304347826085,0.7391304347826086,0.7391304347826086
91,0.91,0.890328412172341,0.9958762886597938,0.7333333333333333,0.7333333333333333,0.7333333333333333
92,0.92,0.8821934317565532,0.9961871750433275,0.7441860465116278,0.7441860465116279,0.7441860465116279
93,0.93,0.8755649291955409,0.9965083798882682,0.761904761904762,0.7441860465116279,0.7804878048780488
94,0.9400000000000001,0.8662247664959325,0.9964714184897672,0.7560975609756099,0.7380952380952381,0.775
95,0.9500000000000001,0.8541729436577282,0.9966004651994991,0.7654320987654322,0.7380952380952381,0.7948717948717948
96,0.96,0.8406146429647484,0.9970919665576155,0.7948717948717948,0.7948717948717948,0.7948717948717948
97,0.97,0.8195239529978909,0.9973919523099851,0.8055555555555555,0.7837837837837838,0.8285714285714286
